单号,状态,客户,下单日,币种,汇率,合同金额原币,收入折CNY,A_总额列total_cost,B_成本桶合计,C_费用归集cost_items,D_旧标量列合计,差额_B减A,归集行数,桶_采购成品,桶_面料,桶_辅料,桶_加工费,桶_货代费,桶_装柜费,桶_物流费,桶_其他费用,利润_现存,利润_按A算,利润_按B算,利润_按C算,毛利率_现存,影响
BO-202604-0057,approved,宁波巴拿马,2026-04-14,USD,6.9,9734.4,67167.36,58872,256406.72,65513.08,58872,197534.72,20,0,82969.92,31622.4,135014.4,5000,800,1000,0,8295.36,8295.36,-189239.36,1654.28,12.35,利润虚高
BO-202604-0047,approved,年年旺,2026-04-11,CNY,1,222750,222750,172195,201545,174865.34,172195,29350,23,0,90945,19800,90000,0,0,800,0,50555,50555,21205,47884.66,22.7,利润虚高
BO-202604-0033,approved,伊彤,2026-04-11,USD,6.9,18648,128671.2,121543.2,111855.2,111845.25,121543.2,-9688,13,0,45007.2,9728,57120,0,0,0,0,7128,7128,16816,16825.95,5.54,利润虚低
BO-202604-0054,approved,EHL,2026-04-11,USD,6.9,12096,83462.4,74604,69984,78833.9,74604,-4620,16,0,29808,4320,25920,9936,0,0,0,8858.4,8858.4,13478.4,4628.5,10.61,利润虚低
BO-202604-0040,approved,Lit26,2026-04-11,USD,6.9,115926,799889.4,745990,749706,546780.16,745990,3716,69,0,314478,51686.4,278220,105321.6,0,0,0,53899.4,53899.4,50183.4,253109.24,6.74,利润虚高
BO-202604-0048,approved,杭州杨小姐,2026-04-11,USD,1,27510,27510,23456,22436,97356.02,23456,-1020,10,0,0,4620,17816,0,0,0,0,4054,4054,5074,-69846.02,14.74,利润虚低
BO-202604-0050,approved,EHL,2026-04-11,USD,6.9,5700,39330,37908,37010.7,34309.32,37908,-897.3,13,0,13718.7,3600,15600,4092,0,0,0,1422,1422,2319.3,5020.68,3.62,利润虚低
BO-202604-0055,approved,年年旺,2026-04-11,CNY,1,410010,410010,316320.6,315720.6,379982.4,316320.6,-600,44,0,136680.6,45090,133950,0,0,0,0,93689.4,93689.4,94289.4,30027.6,22.85,利润虚低
BO-202604-0046,approved,PITCH,2026-04-11,USD,6.9,9600,66240,52484,51984,89094.16,52484,-500,27,0,20388,4440,21360,5796,0,0,0,13756,13756,14256,-22854.16,20.77,利润虚低
BO-202604-0015,approved,年年旺,2026-04-11,CNY,1,313143,313143,248722.5,248322.5,264293.24,248722.5,-400,47,0,96106.5,20340,131376,0,0,500,0,64420.5,64420.5,64820.5,48849.76,20.57,利润虚低
BO-202604-0041,approved,杭州杨小姐,2026-04-11,CNY,1,19000,19000,17999.98,17600,79747.89,17999.98,-399.98,23,0,0,4000,13600,0,0,0,0,1000.02,1000.02,1400,-60747.89,5.26,利润虚低
BO-202604-0051,approved,EHL,2026-04-11,USD,6.9,3477.6,23995.44,22391.84,22191.84,22376.53,22391.84,-200,16,0,9253.44,1792.8,8164.8,2980.8,0,0,0,1603.6,1603.6,1803.6,1618.91,6.68,利润虚低
BO-202604-0042,approved,Habib,2026-04-11,USD,6.9,5400,37260,31972,32072,88306.76,31972,100,21,0,6792,17040,6240,2000,0,0,0,5288,5288,5188,-51046.76,14.19,利润虚高
BO-202604-0052,approved,EHL,2026-04-11,USD,6.9,907.2,6259.68,5348.8,5248.8,4855.54,5348.8,-100,14,0,2235.6,324,1944,745.2,0,0,0,910.88,910.88,1010.88,1404.14,14.55,利润虚低
BO-202604-0049,approved,年年旺,2026-04-11,CNY,1,63750,63750,49205,49155,47351.9,49205,-50,26,0,21855,6750,20250,0,0,300,0,14545,14545,14595,16398.1,22.82,利润虚低
