订单号,状态,total_cost列,桶和重算,差额,来源
PO3302028,draft,0,714074.44,-714074.44,"excel_budget_2026-07"
581,draft,312356.16,1012019.77,-699663.61,"excel_budget_2026-07"
1022922订单,draft,0,623477,-623477,"excel_budget_2026-07"
PO3301978,draft,850057,1449720,-599663,"excel_budget_2026-07"
BO-202607-0014,draft,0,590846,-590846,"excel_budget_2026-07"
PO3302021,draft,0,556946.73,-556946.73,"excel_budget_2026-07"
1022849订单,draft,510250.29,156638.4,353611.89,"excel_budget_2026-07"
BO-202607-0074,draft,0,306386.44,-306386.44,"excel_budget_2026-07"
PO3302020,draft,465084.8,751083.04,-285998.24,"excel_budget_2026-07"
BO-202607-0011,draft,0,261478.8,-261478.8,"excel_budget_2026-07"
BO-202607-0062,draft,0,250130,-250130,"excel_budget_2026-07"
BO-202607-0008,draft,0,244527.82,-244527.82,"excel_budget_2026-07"
BO-202607-0010,draft,0,244527.82,-244527.82,"excel_budget_2026-07"
PO3302010,draft,0,218892.2,-218892.2,"excel_budget_2026-07"
BO-202607-0012,draft,0,201960.3,-201960.3,"excel_budget_2026-07"
BO-202604-0057,approved,58872,256406.72,-197534.72,"excel_budget_2026-07"
BO-202607-0022,draft,0,188495.64,-188495.64,"excel_budget_2026-07"
545,draft,973243.07,1142470.17,-169227.1,"excel_budget_2026-07"
584,draft,1171004.75,1012019.77,158984.98,"excel_budget_2026-07"
540,draft,219623.42,353139.28,-133515.86,"excel_budget_2026-07"
BO-202607-0078,draft,0,121634.25,-121634.25,"excel_budget_2026-07"
485B订单,draft,124552.67,232067.87,-107515.2,"excel_budget_2026-07"
BO-202607-0075,draft,0,106523.29,-106523.29,"excel_budget_2026-07"
BO-202607-0015,draft,0,102934.26,-102934.26,"excel_budget_2026-07"
BO-202607-0048,draft,0,101258.48,-101258.48,"excel_budget_2026-07"
531订单,draft,414878.56,314449.3,100429.26,"excel_budget_2026-07"
NO.1022924,draft,132520.77,37873,94647.77,"excel_budget_2026-07"
BO-202607-0028,draft,0,89311.81,-89311.81,"excel_budget_2026-07"
BO-202604-0010,draft,0,87470.16,-87470.16,"excel_budget_2026-07"
BO-202607-0009,draft,0,86773.4,-86773.4,"excel_budget_2026-07"
515,draft,662450.4,739309,-76858.6,"excel_budget_2026-07"
BO-202607-0086,draft,0,75654.5,-75654.5,"qimo_procurement_budget"
BO-202607-0027,draft,0,74690.65,-74690.65,"excel_budget_2026-07"
BO-202607-0021,draft,0,66265,-66265,"excel_budget_2026-07"
1022827订单改成1022832订单,draft,232603.05,297280,-64676.95,"excel_budget_2026-07"
523,draft,392585.41,456893,-64307.59,"excel_budget_2026-07"
