匹配键(supplier|品名|金额|数量),组内份数(recon+exnew),recon_fix_id,recon_budget_order_id,recon_订单号,recon_订单status,recon_供应商,recon_品名,recon_金额,recon_数量,recon_source_id,exnew_id,exnew_budget_order_id,exnew_订单号,exnew_订单status,exnew_供应商,exnew_品名,exnew_金额,exnew_数量,exnew_source_id,是否draft订单涉及
优彩包装 | 圆形吊牌COZY PANT | 371.8 | 18590,2,00795de0-f456-4741-8605-62737d05e624,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,优彩包装,圆形吊牌COZY PANT,371.8,18590,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",861df287-cd9d-4c45-accf-d52ccac0ba44,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,优彩包装,圆形吊牌COZY PANT,371.8,18590,544,Y
品泰服饰 | R0412J92-00 | 69948 | 4824,3,06078618-fd6e-4c14-94b6-299c50ec8558,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-00,69948,4824,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",4c60cb50-bc5d-4081-872d-10c87f40d5b9,b3f16d05-8e6d-4cdc-a550-6766d4202180,Invoice72（1022944订单）,draft,品泰服饰,R0412J92-00,69948,4824,Invoice72（1022944订单）,Y
品泰服饰 | R0412J92-00 | 69948 | 4824,3,06078618-fd6e-4c14-94b6-299c50ec8558,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-00,69948,4824,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",f3390723-832d-4d46-b9c1-fa487b7a7cf8,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,品泰服饰,R0412J92-00,69948,4824,527,Y
中阳烫标 | 烫标 | 769.5 | 8550,2,0613cc82-f1ba-4734-a8db-a4f89e6cbc3e,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,中阳烫标,烫标,769.5,8550,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",3cc860d7-d4c8-4b3a-9f1c-7d6708034102,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,中阳烫标,烫标,769.5,8550,544,Y
锦丰布行 | 庄园蓝 | 20462.06 | 878.2,2,07aa0885-7def-431a-891e-91020ae432fd,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,锦丰布行,庄园蓝,20462.06,878.2,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",81ec7356-6a28-430d-a1c7-7e6f98a55033,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,锦丰布行,庄园蓝,20462.06,878.2,540,Y
宁波言晨国际物流有限公司 | CI-54货代费 | 6755 | 0,2,081d269a-100c-43c9-8fa4-89a132af4ddd,b3d428de-1f20-46ff-9ea8-34062f60f990,BO-202604-0068,approved,宁波言晨国际物流有限公司,CI-54货代费,6755,0,"{""sheet"":""510"",""note"":""纠正性重导入-类目差额补漏""}",b3d7b30c-13d7-4015-baee-be6f957396e3,ed08b921-c4d1-45ca-ac82-f5ca4733e6ae,510,draft,宁波言晨国际物流有限公司,CI-54货代费,6755,0,510,Y
荣辰纸箱 | 65*42*33纸箱 | 923 | 142,2,0829af33-0301-4432-bd2f-c32c0266c4bb,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,荣辰纸箱,65*42*33纸箱,923,142,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",01b5a33c-439a-4cc7-b607-ed91b271ddd1,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,荣辰纸箱,65*42*33纸箱,923,142,544B,Y
中阳印刷 | LOVE烫标 | 880.2 | 9780,2,0a6ef6c1-a6d9-4f8d-9f37-10182468b37b,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,中阳印刷,LOVE烫标,880.2,9780,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",fe7132b8-cc03-456f-85cd-7771caebfab2,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,中阳印刷,LOVE烫标,880.2,9780,527,Y
佳荣织带 | 织带和染色费 | 527.28 | 0,2,0cb309bf-cc3e-4c97-a8fa-02df5d1a6aa0,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,佳荣织带,织带和染色费,527.28,0,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",914e8fd6-1941-4278-a6e9-a2e349c9adcc,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,佳荣织带,织带和染色费,527.28,0,540,Y
连云港中伟塑料制品有限公司 | 衣架1.15+尺码粒0.03 | 2159.4 | 1830,2,0d793047-586f-4ac2-82f0-7697de7e2d3f,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,连云港中伟塑料制品有限公司,衣架1.15+尺码粒0.03,2159.4,1830,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",4ed90818-6ff4-4ce7-bae0-bb0534f5b8b8,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,连云港中伟塑料制品有限公司,衣架1.15+尺码粒0.03,2159.4,1830,540,Y
傲狐服饰 | 0609P22-00喇叭裤 | 18480 | 2640,2,10cbd301-87c4-4955-8e42-3084ed1ac08a,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,傲狐服饰,0609P22-00喇叭裤,18480,2640,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",0111a869-a00d-4a38-b64f-72514792c73a,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,傲狐服饰,0609P22-00喇叭裤,18480,2640,544,Y
优彩包装 | 8款吊卡 | 3272.26 | 62928,2,1132a109-0656-4c51-9142-45c1f5238f7f,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,优彩包装,8款吊卡,3272.26,62928,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",7f7874dd-0bde-4daa-8cf7-d5c0ce19c417,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,优彩包装,8款吊卡,3272.26,62928,542,Y
品泰服饰 | R0412J92-89 | 17748 | 1224,3,11eeca24-67ca-4529-aa4d-8c55c4c42762,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-89,17748,1224,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",0294c9e6-e176-4cc8-a814-50d0a39fc573,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,品泰服饰,R0412J92-89,17748,1224,527,Y
