供应商,应付(cost_items¥),已付(supplier_payments¥),余额¥,负成本行
"明粤纺织",-3000,0,-3000,"锦仿棉定金:-3000"
"瑞泰织带厂",-2000,0,-2000,"织带定金:-2000"
"三好服饰",8616,0,8616,"上拉链领子临时工工资:-600"
"君梦服饰",47040,0,47040,"0109P22-00:-640 | 傲狐给君梦剪线头:-320"
"嘉楠服饰",119374.9,0,119374.9,"补面料重做扣嘉楠黑色:-7615.3 | 补面料重做扣嘉楠浅咖:-6838.5 | 补面料重做扣嘉楠雾蓝:-6147.6 | 嘉楠扣文胸:-176.8 | 补腰卡:-750 | 补拉链:-51"
"彩虹服饰",441609.6,0,441609.6,"面料预缩扣彩虹:-9000"
"鑫日服饰",619242.6,0,619242.6,"补拉链费用:-1277.4"
"怡彩服饰",699262,0,699262,"亏舱费3500元:-3500"
"粤华布行",727640,0,727640,"本白退布一匹:-684"
"锦丰布行",2735181.62,0,2735181.62,"墨绿退布修色:-25776.79 | 黑色退布:-14204.4 | 丈青退布:-39789.41 | 黑色退布:-10067.4 | 黑色退布:-7931.7 | 黑色退布:-23450.7 | 黑色退布:-8820 | 紫色退布:-585.9 | 黑色退布:-11690.7 | 黑色退布:-6726.3 | 白色退布:-1338.6 | 雪梨黄退布:-1304.8 | 雪梨黄退布:-2982.4 | 湖兰退布:-19602.29 | 黑色退布:-13687.8"
"旺泽布行",4179652.72,0,4179652.72,"黑色退布:-25137.6"
"华航布行",10394231.76,0,10394231.76,"黑色退布:-17152.8"
"傲狐服饰",16156816.5,0,16156816.5,"试错纸箱重新买:-265 | LU22-SET套装做工问题客人扣款:-32640"
